time,model_name,threshold,nms,poly,topk,mIoU,mAcc,aAcc
2024-11-29 14:21:13,omlab-omdet-turbo-swin-tiny-hf,0.4,0.6,True,None,11.200141581035588,12.822286624319087,13.33942464103178
2024-11-29 14:21:38,google-owlvit-large-patch14,0.0,0.3,True,6,18.61926699774054,20.683969891632582,13.929387582574421
2024-11-29 14:21:58,omlab-omdet-turbo-swin-tiny-hf,0.4,0.2,True,None,11.022040878444558,12.601828483630232,13.299993386781262
2024-11-29 14:22:25,google-owlv2-large-patch14-ensemble,0.0,0.3,True,20,35.82555589589661,41.637876906083456,13.691855630750608
2024-11-29 14:22:46,google-owlv2-base-patch16-ensemble,0.0,0.3,True,3,20.43947657590664,22.28639727463679,13.57318350356592
2024-11-29 14:23:10,google-owlv2-large-patch14-ensemble,0.0,0.3,True,6,28.021401836276226,31.459936569705167,14.232028735374788
2024-11-29 14:23:37,google-owlv2-large-patch14-ensemble,0.0,0.3,True,10,32.551548930787916,36.95728255862667,14.320040171724235
2024-11-29 14:24:10,google-owlv2-base-patch16-ensemble,0.0,0.3,True,25,35.70805992874194,40.17723131345999,13.834859628133062
2024-11-29 14:24:43,google-owlv2-large-patch14-ensemble,0.0,0.3,True,9,31.75640293600012,35.88357833197786,14.314011449444756
2024-11-29 14:25:07,google-owlv2-large-patch14-ensemble,0.0,0.3,True,13,34.29489348704503,39.11469838770956,14.254080393154192
2024-11-29 14:25:31,google-owlv2-large-patch14-ensemble,0.0,0.3,True,7,29.976937246618878,33.59535867293291,14.298993006979108
2024-11-29 14:25:51,omlab-omdet-turbo-swin-tiny-hf,0.4,0.5,True,None,11.197213012129273,12.813891511747592,13.33678105880775
2024-11-29 14:26:19,google-owlv2-base-patch16-ensemble,0.0,0.3,True,16,34.715318322654106,38.53281455506701,14.465343198312466
2024-11-29 14:26:52,google-owlv2-base-patch16-ensemble,0.0,0.3,True,13,33.72002794790105,37.189785349655246,14.536211453483897
2024-11-29 14:27:19,google-owlv2-base-patch16-ensemble,0.0,0.3,True,5,26.141466308831777,28.490921315042318,14.16837515991072
2024-11-29 14:27:50,google-owlv2-large-patch14-ensemble,0.4,0.3,False,None,34.08507777498698,38.01895600391656,14.876549599562447
2024-11-29 14:28:22,google-owlv2-large-patch14-ensemble,0.1,0.3,True,None,35.987611293493096,42.920387381368485,11.387575218233351
2024-11-29 14:28:48,google-owlv2-base-patch16-ensemble,0.0,0.3,True,10,32.209835712671826,35.40629774586615,14.525663762102461
2024-11-29 14:29:28,google-owlv2-large-patch14-ensemble,0.0,0.3,True,18,35.64628144649786,41.001206685729905,13.87406390488542
